Datetime (date and time of sample collection),Days since 741001,"Sample Time Window, days","Flow, CFS","SS, mg/L (suspended solids)","TP, mg/L as P","SRP, mg/L, as P","NO23, mg/L as N","TKN, mg/L (Total Kjeldahl nitrogen)","Chloride, mg/L","Sulfate, mg/L","Silica, mg/L","Conductivity, ?mho","Future, NA",Month
4/29/1975 6:00,210.25,0.354,9564,119,0.29,0.08,8.8,-9,74,-9,-9,-9,,4
4/29/1975 11:00,210.46,0.604,10228,114,-9,0.092,8.5,-9,-9,-9,-9,-9,,4
4/30/1975 11:00,211.46,1,12574,161,-9,0.123,8.2,-9,31,-9,-9,-9,,4
5/1/1975 11:00,212.46,1,11214,153,-9,0.098,7.4,-9,33,-9,-9,-9,,5
5/2/1975 11:00,213.46,1,10536,157,-9,0.105,8.2,-9,32,-9,-9,-9,,5
5/3/1975 11:00,214.46,1,7155,120,-9,0.11,8.6,-9,33,-9,-9,-9,,5
5/4/1975 11:00,215.46,1,6178,90.6,-9,0.09,8,-9,34,-9,-9,-9,,5
5/5/1975 11:00,216.46,0.875,5018,83.1,-9,0.095,7.2,-9,33,-9,-9,-9,,5
5/6/1975 5:00,217.21,0.594,4216,88.1,-9,0.087,7,-9,34,-9,-9,-9,,5
5/6/1975 15:30,217.65,0.719,9156,109,0.295,0.118,8.02,-9,32.5,-9,-9,-9,,5
5/7/1975 15:30,218.65,1,12478,101,0.473,0.126,10.7,-9,30,-9,-9,-9,,5
5/8/1975 15:30,219.65,1,8279,214,0.398,0.11,11.9,-9,27,-9,-9,-9,,5
5/9/1975 15:30,220.65,1,6835,189,0.341,0.092,10.8,-9,26,-9,-9,-9,,5
5/10/1975 15:30,221.65,1,5990,187,0.312,0.078,9.54,-9,25,-9,-9,-9,,5
5/11/1975 15:30,222.65,1,5805,159,0.302,0.091,8.05,-9,25,-9,-9,-9,,5
5/12/1975 15:30,223.65,1.906,5263,140,0.293,0.065,7.4,-9,26.5,-9,-9,-9,,5
5/15/1975 11:00,226.46,1.906,2320,146,-9,0.036,4.46,-9,40,-9,-9,-9,,5
5/16/1975 11:00,227.46,1,1733,99.6,-9,0.066,4.62,-9,41,-9,-9,-9,,5
5/17/1975 11:00,228.46,1,1756,115,-9,0.083,4.1,-9,39,-9,-9,-9,,5
5/18/1975 11:00,229.46,1,1663,106,-9,0.051,3.68,-9,39,-9,-9,-9,,5
5/19/1975 11:00,230.46,1,1547,88.8,-9,0.037,3.32,-9,39,-9,-9,-9,,5
5/20/1975 11:00,231.46,0.51,1416,85.6,-9,0.055,3.1,-9,40,-9,-9,-9,,5
5/20/1975 11:30,231.48,0.135,1968.9,72.4,0.265,0.098,3.54,-9,45,-9,-9,-9,,5
5/20/1975 17:30,231.73,0.25,1733,79,0.291,0.095,3.53,-9,45,-9,-9,-9,,5
5/20/1975 23:30,231.98,0.25,2213,74.8,0.298,0.093,3.27,-9,46,-9,-9,-9,,5
5/21/1975 5:30,232.23,0.25,4026,110,0.318,0.065,3.47,-9,47,-9,-9,-9,,5
5/21/1975 11:30,232.48,0.25,7771,96.1,0.59,0.105,3.33,-9,49,-9,-9,-9,,5
5/21/1975 17:30,232.73,0.25,10448,125,0.397,0.115,3.09,-9,50,-9,-9,-9,,5
5/21/1975 23:30,232.98,0.25,10895,131,0.4,0.085,2.74,-9,51,-9,-9,-9,,5
5/22/1975 5:30,233.23,0.25,10228,138,0.391,0.1,3.34,-9,52,-9,-9,-9,,5
5/22/1975 11:30,233.48,0.25,9744,111,0.497,0.115,3.68,-9,56,-9,-9,-9,,5
5/22/1975 17:30,233.73,0.25,10008,195,0.457,0.115,3.98,-9,53,-9,-9,-9,,5
5/22/1975 23:30,233.98,0.25,11819,260,0.572,0.1,4.92,-9,44,-9,-9,-9,,5
5/23/1975 5:30,234.23,0.25,15628,412,0.735,0.112,6.46,-9,41,-9,-9,-9,,5
5/23/1975 11:30,234.48,0.25,18772,522,0.894,0.095,8.41,-9,38,-9,-9,-9,,5
5/23/1975 17:30,234.73,0.25,20419,575,0.947,0.047,8.63,-9,36,-9,-9,-9,,5
5/23/1975 23:30,234.98,0.25,21658,671,1.04,0.102,8.33,-9,33,-9,-9,-9,,5
5/24/1975 5:30,235.23,0.25,22071,664,0.968,0.12,8.11,-9,33,-9,-9,-9,,5
5/24/1975 11:30,235.48,0.25,21422,822,1.18,0.11,7.29,-9,34,-9,-9,-9,,5
5/24/1975 17:30,235.73,0.25,19619,700,1.03,0.085,7.82,-9,36,-9,-9,-9,,5
5/24/1975 23:30,235.98,0.25,17388,699,1.04,0.105,8.45,-9,37,-9,-9,-9,,5
5/25/1975 5:30,236.23,0.25,15160,469,0.734,0.028,8.62,-9,37,-9,-9,-9,,5
5/25/1975 11:30,236.48,0.25,13498,398,0.705,0.11,9.05,-9,38,-9,-9,-9,,5
5/25/1975 17:30,236.73,0.25,12101,370,0.64,0.107,9.34,-9,40,-9,-9,-9,,5
5/25/1975 23:30,236.98,0.25,10272,366,0.89,0.095,9.23,-9,42,-9,-9,-9,,5
5/26/1975 5:30,237.23,0.25,6484,271,0.476,0.115,9.27,-9,42,-9,-9,-9,,5
5/26/1975 11:30,237.48,0.25,6216,299,0.49,0.055,9.59,-9,41,-9,-9,-9,,5
5/26/1975 17:30,237.73,0.25,6368,299,0.507,0.105,9.49,-9,40,-9,-9,-9,,5
5/26/1975 23:30,237.98,0.25,6254,266,0.58,0.105,9.51,-9,39,-9,-9,-9,,5
5/27/1975 5:30,238.23,0.245,6291,302,0.635,0.093,9.73,-9,42,-9,-9,-9,,5
5/27/1975 11:15,238.47,0.245,6368,264,0.521,0.148,10.2,-9,61,-9,-9,-9,,5
5/27/1975 17:15,238.72,0.25,5952,265,0.523,0.142,10.3,-9,-9,-9,-9,-9,,5
5/27/1975 23:15,238.97,0.25,5842,235,0.508,0.15,10.1,-9,-9,-9,-9,-9,,5
5/28/1975 5:15,239.22,0.25,5477,226,0.491,0.15,9.3,-9,45,-9,-9,-9,,5
5/28/1975 11:15,239.47,0.25,5157,279,0.633,0.19,8.87,-9,61,-9,-9,-9,,5
5/28/1975 17:15,239.72,0.25,4845,254,0.481,0.145,9.05,-9,47,-9,-9,-9,,5
5/28/1975 23:15,239.97,0.25,4249,199,0.431,0.14,9.18,-9,61,-9,-9,-9,,5
5/29/1975 5:15,240.22,0.25,4090,196,0.442,0.145,9.55,-9,47,-9,-9,-9,,5
5/29/1975 11:15,240.47,0.25,3865,166,0.405,0.14,9.3,-9,66,-9,-9,-9,,5
5/29/1975 17:15,240.72,0.25,3451,146,0.374,0.145,9.3,-9,-9,-9,-9,-9,,5
5/29/1975 23:15,240.97,0.25,3252,141,-9,0.145,9.3,-9,-9,-9,-9,-9,,5
5/30/1975 5:15,241.22,0.25,4026,156,0.392,0.145,9.3,-9,53,-9,-9,-9,,5
5/30/1975 11:15,241.47,0.25,2753,155,0.393,0.14,9.15,-9,68,-9,-9,-9,,5
